level_1,level_2,level_3,timestamp,author,speech
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,1.,,1020,Tan Sri Dato’ Haji Muhyiddin bin Haji Mohd. Yassin,"Terima kasih Tuan Yang
di-Pertua. Isu soal kekurangan guru ini memang lumrah berlakulah, saya akuilah, dan itu
juga yang biasa kita bincangkan selalu di peringkat kementerian, bagaimana kita hendak
menyelesaikan masalah ini. Walaupun saya akui juga di lain-lain agensi dan jabatan
masalah yang sama pun timbul, tetapi kerana saiz kementerian kita ini besar, bilangan
tenaga guru adalah agak ramai, lebih satu pertiga daripada perkhidmatan awam adalah
dalam Kementerian Pelajaran, maka ia memerlukan kita melihat bagaimana kita hendak
menguruskan masalah ini supaya walaupun soal kekurangan itu tidak mungkin dapat
diatasi seratus peratus, tetapi macam Yang Berhormat sebutkan tadi, contoh Sekolah
Menengah Subang Jaya kah apa, bila ada kekosongan seorang guru sama ada dia sudah
bersara ataupun dia sakit pun kadang-kadang menimbulkan masalah ataupun yang bersalin
hendak mengisinya dengan guru ganti pun isunya berbangkit, maka kita hendak tengok
bagaimana cara hal sebegitu berlaku.
Ini berbalik pada soal pengurusan dan pentadbiran tentang pengambilan guru,
penempatan guru, lepas itu juga kita menghadapi masalah Tuan Yang di-Pertua, contohnya
kerana guru ini biasanya dia dekat dengan masyarakat dan dia tinggal di situ sudah sekian
lama, sudah bersuami atau sudah beristeri, beranak-pinak, kadang-kadang kita
memerlukan pertukaran berlaku, *transfer,* penempatan semula di tempat-tempat di mana
kekurangan tadi berlaku, jadi kita menghadapi masalah. Saya kena akui dalam Parlimen ini,
kita menghadapi masalah bila kita keluarkan arahan untuk perpindahan, ada rayuan-
rayuan, kadang-kadang orang politik pun datang bagi dengan surat sokongan janganlah
pindahkan mereka ini kerana dia diperlukan dan sebagainya. Jadi kita menghadapi
masalah-masalah praktikal sebegitu.
Kalau katakan yang si isteri kata hendak bertukar, dia mengambil kira soal faktor
sosial, keluarga, rumah tangga, suami. Tuan Yang di-Pertua pun pernah bangkit juga soal
guru di kawasan Tuan Yang di-Pertua. Jadi soal-soal sebegini timbul menyebabkan kita
tidak dapat hendak memenuhi tuntutan yang sebenarnya. Jadi isu kemanusiaan itu
berbangkit menyebabkan ada lah masalah dari segi hendak melaksanakan cara lebih
cekap.
Jadi saya hendak sebutkan di sini, memang isu ini saya faham dan kita hendak
cari jalan bagaimana untuk kita selesaikan dari segi jangka panjangnya. Ini memerlukan kita
melihat balik, saya percaya mungkin dengan adanya kajian semula yang juga antara
sembilan perkara tadi Yang Berhormat, ia melibatkan soal organisasi di peringkat
pentadbiran pendidikan itu sendiri, bagaimana kita hendak laksanakan supaya isu-isu yang
ditimbulkan tadi dapat kita atasi, *insya-Allah.*"
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,2.,,1020,Tuan Gobind Singh Deo [Puchong],"minta Perdana Menteri menyatakan sama
ada kerajaan sedia untuk meminda Perlembagaan Persekutuan untuk memberikan hak
kepada SPRM atau badan lain untuk menuduh seseorang untuk sebarang jenayah rasuah
atau lain dan sekiranya tidak, kenapa."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,2.,,1020,Menteri di Jabatan Perdana Menteri [Dato’ Seri Mohamed Nazri Abdul Aziz],"Tuan Yang di-Pertua, kerajaan tidak bercadang untuk meminda Perlembagaan
Persekutuan untuk memberi kuasa kepada Suruhanjaya Pencegahan Rasuah Malaysia
(SPRM) untuk memulakan pendakwaan bagi kes rasuah secara penuh tanpa perlu merujuk
Peguam Negara kerana dalam menjalankan penyiasatan dan pendakwaan, perlu ada *check
and balance.* Sekiranya agensi penyiasatan iaitu dalam hal ini SPRM diberi kuasa untuk
membuat keputusan mendakwa, maka tidak wujud satu usaha pemikiran yang bebas,
dengan izin, *independent of mind* dalam pertimbangkan fakta dan keterangan sesuatu kes
secara objektif."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,2.,,1030,Menteri di Jabatan Perdana Menteri [Dato’ Seri Mohamed Nazri Abdul Aziz],"Ini juga adalah bertentangan dengan prinsip keadilan asasi dengan izin *natural
justice* iaitu dengan izin, *a man should not be a judge in his own cause* kerana Ketua
Pesuruhjaya SPRM dan pegawai SPRM menjalankan kuasa siasatan mengikut seksyen 7
Akta Suruhanjaya Pencegahan Rasuah Malaysia 2009 iaitu Akta 694.
Perlembagaan Persekutuan telah memperuntukkan kuasa yang mutlak kepada
Peguam Negara di bawah fasal 3 Perkara 145 Perlembagaan Persekutuan bahawa
Peguam Negara mempunyai kuasa untuk memulakan, menjalankan atau memberhentikan
apa-apa prosiding bagi sesuatu kesalahan selain prosiding di hadapan Mahkamah Syariah,
Mahkamah Anak Negeri atau Mahkamah Tentera. Di mana-mana negara pun kuasa untuk
membuat pertuduhan dan pendakwaan adalah terletak hak kepada Peguam Negara
ataupun pendakwa raya yang bebas dan tidak dipengaruhi oleh agensi penyiasatan.
Selanjutnya untuk makluman Dewan yang mulia ini, Timbalan Pendakwa Raya
yang ditempatkan di SPRM merupakan Timbalan Pendakwa Raya yang dilantik oleh
Pendakwa raya di bawah subseksyen 376(3) Kanun Tatacara Jenayah iaitu Akta 593 dan
diberi kuasa untuk membuat keputusan untuk menjalankan pendakwaan atau sebaliknya
bagi kes-kes yang disiasat oleh SPRM. Akan tetapi hendaklah tertakluk kepada kawalan
dan arahan Pendakwa Raya. Untuk makluman, semua keputusan yang dibuat oleh
Bahagian Perundangan dan Pendakwaan SPRM akan disemak oleh panel penilaian
operasi yang ditubuhkan di bawah SPRM."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,2.,,1030,Tuan Gobind Singh Deo [Puchong],"Terima kasih Tuan Yang di-Pertua. Terima
kasih Yang Berhormat Menteri kerana memberi jawapan tersebut. Saya cukup setuju
dengan apa yang dinyatakan oleh Yang Berhormat Menteri bahawa apa yang diperlukan di
dalam sistem khususnya sistem *prosecution* ataupun pendakwaan adalah satu keadaan di
mana wujudnya *independence of mind*. Juga seperti mana yang disebutkan tadi bahawa
*man should not be a judge in his own cause.*
Itu menjadi soalan yang berbangkit Yang Berhormat Menteri. Di dalam hal kita
memberikan kuasa mutlak kepada seseorang individu iaitu seperti mana Malaysia di bawah
Perlembagaan Persekutuan, *Article* 145 kepada peguam negara, soalan saya adalah ini,
apakah yang berlaku apabila kita dapat menunjukkan bahawa Peguam Negara ini memang
tidak mempunyai *independence of mind*?
Misalnya saya beri contoh misalnya delegasi di buat terhadap Peguam Negara
sendiri. Bila terdapat aduan daripada pegawai-pegawai SPRM bahawa yang menghalang
pendakwaan atau yang melambatkan pendakwaan tersebut adalah Peguam Negara
sendiri. Ini saya dapat petik daripada satu kenyataan daripada *Deputy Commissioner*
daripada SPRM, Mohd Shukri Abdul baru-baru ini pada 30 Mac di mana beliau menyatakan
dengan izin Tuan Yang di-Pertua, bahawa banyak kes yang telah pun disiasat dan telah
pun dihantar kepada Jabatan Peguam Negara tetapi tidak ada sebarang tindakan. Malahan
kes-kes tersebut sekian lama digelapkan dan disenyapkan. *So*, itu menjadi persoalan yang
timbul.
Di dalam negara ini, saya rasa kepada semua Ahli Yang Berhormat yang hadir ini,
kita semua tahu sama ada benar ataupun tidak.."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,2.,,1030,Timbalan Yang di-Pertua [Datuk Dr. Wan Junaidi bin Tuanku Jaafar],Okey.
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,2.,,1030,Tuan Gobind Singh Deo [Puchong],"Itu isu lain Yang Berhormat Menteri. Akan
tetapi soalnya apa-apa aduan yang dibuat oleh seorang bekas pegawai polis Tuan Mat Zain
Ibrahim di mana beliau dengan sendiri menyatakan bahawa Peguam Negara, Tan Sri Ghani
Patail memang terlibat dalam isu menggelapkan kes-kes rasuah terhadap bekas Ketua
Menteri Melaka, Tan Sri Rahim Tamby Chik. Surat-surat dikemukakan di mana pegawai
tersebut juga menyatakan bahawa beliau sudi hadir untuk memberi keterangan berkenaan
perkara ini. Akan tetapi masalah dia kuasa pendakwaan itu terletak di tangan orang yang
sekarang aduan tersebut dibuat terhadapnya. *So,* bagaimana kita hendak mewujudkan satu
seperti mana Menteri menyatakan tadi *independence of mind* seperti mana Yang Berhormat
Menteri katakan *a man should not be a judge in his own cause*?
Baru-baru ini sama ada benar ataupun tidak Tuan Yang di-Pertua, sekali lagi isu
berkenaan dengan kes *Scorpene*. Kes *Scorpene* yang berbangkit. Kita semua tahu Tuan
Yang di-Pertua. Sama ada benar ataupun tidak tetapi isu dia orang rakyat Malaysia
sekarang tidak mempunyai *confident*, tidak mempunyai – *we have no confident in the
system* sehingga badan di Malaysia NGO Suarang."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,2.,,1030,ANNOTATION,[Dewan riuh]
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,2.,,1030,Tuan Gobind Singh Deo [Puchong],"Tunggu-tunggu, perlu
pergi ke Paris untuk minta satu siasatan oleh kerana dikatakan bahawa orang yang terlibat
itu memang ada kaitan dengan Peguam Negara.
*So*, isu yang berbangkit. Saya rasa ini penting kepada kita semua sebagai Ahli
Yang Berhormat. Tugas kita untuk membangkitkan hal-hal sebegini di Parlimen. Apakah
yang akan dilakukan oleh kerajaan untuk memastikan bahawa apa yang disebutkan tadi
*independence of mind* tersebut memang wujud dan memang terdapat satu sistem di mana
boleh dikawal apabila kita buat aduan berkenaan dengan *independence of the Attorney
General*, kita ini aduan tersebut harus dibuat ke mana Tuan Yang di-Pertua? Ini menjadi
soalan saya. Oleh itu kita lihat Yang Berhormat Menteri, negara-negara yang sekarang
maju ke arah di mana *there is decentralization* dengan izin.."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,2.,,1030,Timbalan Yang di-Pertua [Datuk Dr. Wan Junaidi bin Tuanku Jaafar],"Okey
Yang Berhormat, cukup."
