level_1,level_2,level_3,raw_timestamp,timestamp,author,speech
,,,2.30 petang,1430,ANNOTATION,"[Timbalan Yang di-Pertua (Tuan Nga Kor Ming)
mempengerusikan Mesyuarat]"
UCAPAN DI BAWAH USUL BERKENAAN PERKARA TADBIR KERAJAAN (P.M. 17),Pengecilan Saiz Penjawat Awam,,2.37 ptg.,1437,Dato’ Dr. Noraini Ahmad [Parit Sulong],"Terima kasih Tuan Yang di Pertua. Soalan
saya hari ini adalah pertanyaan mengenai pengecilan saiz penjawat awam Jabatan Perdana
Menteri. Tuan Yang di-Pertua, berdasarkan kenyataan Perdana Menteri baru-baru ini,
kerajaan mungkin akan mempertimbangkan untuk mengecilkan saiz perkhidmatan awam di
masa akan datang memandangkan menurut Perdana Menteri, bilangan 1.7 juta penjawat
awam adalah membebankan kerajaan.
Soalan saya, berdasarkan ulasan Perdana Menteri, adakah ini bermakna Jabatan
Perkhidmatan Awam akan membekukan pengambilan penjawat awam buat seketika atau
terdapat sebarang pekeliling mengenai pengurangan jumlah pengambilan penjawat awam
bagi tahun semasa?
Soalan yang kedua, berdasarkan matlamat kerajaan untuk mengecilkan saiz
perkhidmatan awam, berapakah jumlah kos yang boleh dikurangkan melalui dasar penjimatan
ini dan berapakah jumlah pengurangan pencen yang akan dianggar dapat dijimatkan?
Soalan yang ketiga, selain daripada lantikan politik, jawatan apakah yang dianggap
boleh dikurangkan dan adakah kerajaan mempunyai perancangan untuk menswastakan
beberapa agensi kerajaan sebagai satu usaha merancakkan sektor ekonomi? Jika ya, apakah
agensi-agensi yang berpotensi tersebut? Sekian, terima kasih."
UCAPAN DI BAWAH USUL BERKENAAN PERKARA TADBIR KERAJAAN (P.M. 17),Pengecilan Saiz Penjawat Awam,,2.39 ptg.,1439,Timbalan Menteri di Jabatan Perdana Menteri [Datuk Wira Dr. Md Farid bin Md Rafik],"*Bismillahir Rahmanir Rahim. Assalamualaikum warahmatullahi wabarakatuh* dan
salam sejahtera. Terima kasih kepada Tuan Yang di-Pertua. Untuk makluman Yang
Berhormat, saiz perkhidmatan awam yang terlalu besar menjadi kebimbangan sejak sekian
lama kerana ia meningkatkan perbelanjaan mengurus kerajaan, sekali gus mengecilkan
peruntukan perbelanjaan pembangunan.
Sekiranya tidak dikawal, kos perbelanjaan mengurus ini akan memakan sebahagian
besar daripada belanjawan negara setiap tahun serta mengakibatkan pertumbuhan ekonomi
yang perlahan berikutan ketidakmampuan kerajaan berbelanja untuk projek-projek
pembangunan yang boleh menjana kesan berganda kepada pertumbuhan ekonomi dan sosial
negara."
UCAPAN DI BAWAH USUL BERKENAAN PERKARA TADBIR KERAJAAN (P.M. 17),Pengecilan Saiz Penjawat Awam,,■1440,1440,Timbalan Menteri di Jabatan Perdana Menteri [Datuk Wira Dr. Md Farid bin Md Rafik],"Kerajaan tidak membekukan pengambilan penjawat awam pada masa ini bagi
memastikan sistem penyampaian perkhidmatan tidak terjejas dengan pelaksanaan dasar
kawalan saiz perkhidmatan awam. Pengurangan saiz perkhidmatan awam bermaksud
pengurangan jumlah perjawatan keseluruhan yang tidak diperlukan merangkumi
perkhidmatan awam persekutuan, badan berkanun persekutuan, perkhidmatan awam negeri,
badan berkanun negeri dan pihak berkuasa tempatan. Pengurangan saiz perkhidmatan awam
tidak bermakna penjawat awam akan ditamatkan kontrak dan diberhentikan kerja.
Sektor utama yang memberi perkhidmatan secara terus kepada rakyat seperti sektor
kesihatan, pendidikan dan keselamatan tidak akan terjejas dengan pelaksanaan dasar ini.
Buat masa ini, kerajaan tidak mengeluarkan pekeliling mengenai pengurangan jumlah
pengambilan penjawat awam memandangkan dasar kawalan saiz ini tidak melibatkan
pembekuan pengambilan penjawat awam.
Melalui dasar kawalan saiz perkhidmatan awam, kerajaan dijangka dapat
mengurangkan perbelanjaan emolumen sehingga RM2.18 bilion bagi tahun 2019 dan
pengurangan penjimatan pencen dianggarkan sebanyak RM490 juta. Dengan perkembangan
teknologi terkini, kerajaan percaya perkhidmatan awam akan lebih produktif apabila
pertindihan fungsi dapat dikurangkan, pembaziran dielakkan, pengagihan sumber
dilaksanakan dengan cekap dan juga tenaga diganti dengan penggunaan teknologi.
Kerajaan dalam proses untuk menstruktur semula jumlah perjawatan dalam
perkhidmatan awam berdasarkan kedudukan ekonomi negara dan perkembangan teknologi
semasa melalui pelbagai kaedah, antaranya:
(i) kajian pertindihan fungsi antara jabatan dan juga agensi;
(ii) rasionalisasi perjawatan;
(iii) pengoptimuman sumber manusia;
(iv) serah urus fungsi (*outsourcing*);
(v) penyampaian perkhidmatan alternatif (*alternative service delivery*);
dan
(vi) penswastaan, gabungan teknologi dan pengisian jawatan secara
berhemah mengikut keperluan.
Berdasarkan kaedah tersebut, jawatan yang tidak diperlukan dapat dimansuhkan,
sekali gus dapat mengoptimumkan sumber manusia dalam sektor awam.
Kerajaan telah memperkenalkan Dasar Penswastaan pada tahun 1983 yang telah
menyentuh peranan pihak swasta dalam pembangunan negara. Melalui dasar ini, kerajaan
berjaya mengurangkan bebanan kewangannya, meninggikan kecekapan dan penghasilan
kerja, menggalakkan pertumbuhan ekonomi dan pembahagian sumber secara cekap. Ini
dapat dilihat contohnya melalui kejayaan penswastaan Telekom. Kakitangan Telekom
dipindahkan ke syarikat swasta dan hal ini dapat menjana pertumbuhan ekonomi negara
selain sistem penyampaian perkhidmatan kepada rakyat dapat ditingkatkan.
Sehubungan itu, kerajaan sedang mengkaji dan mengenal pasti mana-mana agensi
kerajaan yang berpotensi untuk diswastakan bagi mengurangkan peningkatan perbelanjaan
kerajaan dan merancakkan sektor swasta. Buat masa ini senarai agensi masih belum
dimuktamadkan, mengambil kira pelbagai faktor yang perlu dikaji secara menyeluruh dan
implikasi terhadap perkhidmatan awam. Sekian, terima kasih."
UCAPAN DI BAWAH USUL BERKENAAN PERKARA TADBIR KERAJAAN (P.M. 17),Pengecilan Saiz Penjawat Awam,,■1440,1440,Timbalan Yang di-Pertua [Tuan Nga Kor Ming],"Terima kasih Yang Berhormat
Menteri. Ahli-ahli Yang Berhormat, Mesyuarat Kamar Khas hari ini ditangguhkan sehingga jam
2.30 petang, hari Khamis, 28 Mac 2019."
UCAPAN DI BAWAH USUL BERKENAAN PERKARA TADBIR KERAJAAN (P.M. 17),Pengecilan Saiz Penjawat Awam,,2.43 petang,1443,ANNOTATION,[Kamar Khas ditangguhkan pada pukul 2.43 petang]
