level_1,level_2,level_3,raw_timestamp,timestamp,author,speech
,,,2.30 petang,1430,ANNOTATION,"[Tuan Khoo Poay Tiong (Kota Melaka)
mempengerusikan Mesyuarat]"
UCAPAN DI BAWAH USUL BERKENAAN PERKARA TADBIR KERAJAAN (P.M. 17),"MASALAH MUARA CETEK DI PELABUHAN LEMBAGA KEMAJUAN IKAN
MALAYSIA (LKIM) CHENDERING",,2.34 ptg.,1434,Datuk Ahmad Amzad bin Mohamed @ Hashim [Kuala Terengganu],"*Bismillahi Rahmani Rahim. Assalamualaikum warahmatullahi wabarakatuh*.
Salam sejahtera. Tuan Yang di-Pertua, masalah muara cetek di Pelabuhan LKIM
Chendering telah berlarutan sejak sekian lama sehingga menyukarkan para
nelayan terutama pengusaha bot laut dalam untuk masuk ke pelabuhan itu bagi
mendaratkan ikan.
Pelabuhan LKIM Chendering ini berkeluasan 41 hektar termasuk 33 hektar
*harbour basin* iaitu kawasan bot berlabuh yang mula beroperasi pada 1983. Itu
merupakan satu-satunya fasiliti pendaratan yang dibina untuk mengendalikan bot
kelas C2. Pelabuhan ini juga pernah merekodkan pendaratan ikan sebanyak
13,682 metrik tan pada 2013. Namun jumlah itu semakin menurun dan hanya
menerima pendaratan ikan hanya 1,334 metrik tan sahaja secara purata. Ini
adalah satu kerugian untuk sektor ekonomi penduduk setempat di Kuala
Terengganu.
Masalah ini dipercayai berpunca daripada kerosakan pada bahagian
benteng pemecah ombak serta masalah mendapan pasir. Sejak benteng
pemecah ombak yang dibina di kawasan ini rosak, ia tidak lagi berfungsi dengan
baik menyebabkan pasir-pasir masuk ke pelabuhan ini. Jika ia tidak segera
diatasi, dalam tempoh dua tahun lagi kemungkinan semua jenis bot sudah tidak
boleh melalui laluan ini.
Begitu juga dengan bekalan elektrik dan air. Kemudahan itu sebenarnya
penting bagi golongan nelayan namun ia tidak disediakan dengan lengkap malah
tidak mencukupi untuk kegunaan mereka yang tertumpu di sini.
*Alhamdulillah*, saya berterima kasih kerana dimaklumkan kerajaan hari ini
telah meluluskan peruntukan sebanyak RM192 juta untuk menaik taraf Pelabuhan
Lembaga Kemajuan Ikan Malaysia (LKIM) Chendering. Saya difahamkan kerja-
kerja menaik taraf dijangka bermula April ini dan dimulakan dengan proses
penilaian dan kajian untuk membina benteng pemecah ombak dan pembaikan
kecil berkait infrastruktur di pelabuhan.
Saya mohon penjelasan daripada pihak kementerian mengenai pelan
jangka pendek dan sementara bagi membantu para nelayan di pelabuhan ini
memandangkan kerja-kerja menaik taraf pelabuhan ini dijangka siap sepenuhnya
dalam tempoh tiga tahun. Saya juga memohon perincian daripada pihak
kementerian adakah jumlah RM192 juta yang diluluskan ini termasuk kos untuk
pengorekan pasir? Sekian, terima kasih."
UCAPAN DI BAWAH USUL BERKENAAN PERKARA TADBIR KERAJAAN (P.M. 17),"MASALAH MUARA CETEK DI PELABUHAN LEMBAGA KEMAJUAN IKAN
MALAYSIA (LKIM) CHENDERING",,2.34 ptg.,1434,Tuan Khoo Poay Tiong [Kota Melaka],"Minta Yang Berhormat Menteri
untuk menjawab."
UCAPAN DI BAWAH USUL BERKENAAN PERKARA TADBIR KERAJAAN (P.M. 17),"MASALAH MUARA CETEK DI PELABUHAN LEMBAGA KEMAJUAN IKAN
MALAYSIA (LKIM) CHENDERING",,2.37 ptg.,1437,Menteri Pertanian dan Keterjaminan Makanan [Datuk Seri Haji Mohamad bin Sabu],"*Assalamualaikum warahmatullaahi wabarakaatuh*.
Selamat berpuasa. Tuan Yang di-Pertua, Kementerian Pertanian dan
Keterjaminan Makanan melalui Lembaga Kemajuan Ikan Malaysia
bertanggungjawab dalam mengurus, mengawal selia serta membantu
pengoperasian kompleks pelabuhan perikanan dan jeti pendaratan ikan bagi
memastikan ia beroperasi dengan cekap dan sempurna untuk faedah pengguna.
Berikutan itu, kerajaan melalui Kementerian Pertanian dan Keterjaminan
Makanan telah meluluskan peruntukan sejumlah RM192 juta untuk cadangan
pembangunan dan pemerkasaan, pelabuhan perikanan LKIM Chendering antara
perincian skop termasuklah:
(i) kerja-kerja pengerokan pasir;
(ii) kerja-kerja membina tambahan benteng pemecah ombak;
(iii) naik taraf benteng sedia ada; dan
(iv) menaik taraf kemudahan infrastruktur.
Kita harap dengan siap pelabuhan ini nanti, mereka yang selama ini pergi
mendaratkan ikan mereka di Tok Bali dan di Pahang akan kembali ke Chendering
ini. Pada tahun 2023, sejumlah RM5 juta telah diperakukan dalam RP3 untuk
kajian awalan dan peningkatan infrastruktur. Dalam tempoh pelaksanaan ini,
pihak Lembaga Kemajuan Ikan Malaysia (LKIM) sentiasa memastikan aktiviti
pendaratan ikan oleh bot-bot nelayan berjalan seperti biasa. Untuk makluman
juga, pihak Kerajaan Negeri Terengganu telah memperuntukkan kos sebanyak
RM3 juta bagi kerja-kerja pengorekan laluan pelayaran untuk bot nelayan dan
sedang dalam status pelaksanaan kerja-kerja perolehan oleh pihak JPS negeri.
Pihak KPKM serta LKIM sentiasa komited dalam memastikan kemudahan
pendaratan yang disediakan boleh digunakan oleh para nelayan. Pada masa kini,
Pelabuhan Perikanan LKIM Chendering masih beroperasi dan bot-bot enjin dalam
mendaratkan ikan di dermaga dengan menggunakan kren yang disediakan atau
kemudahan yang sedia ada di atas bot. Manakala, bagi bot tradisi dan sampan,
nelayan mendaratkan hasil tangkapan mereka di jeti pendaratan yang dikhaskan
untuk nelayan tradisi.
Sepertinya operasi bot-bot kecil terus berjalan sehingga siap sepenuhnya
nanti, bot-bot besar boleh masuk dan ia akan menjadi satu pelabuhan yang agak
besar di Pantai Timur bagi Negeri Terengganu khasnya. Sekian, terima kasih."
UCAPAN DI BAWAH USUL BERKENAAN PERKARA TADBIR KERAJAAN (P.M. 17),"PEMULIHARAAN MUARA SUNGAI IBAI
BAGI MENGATASI KECETEKAN",,2.40 ptg.,1440,Datuk Ahmad Amzad bin Mohamed @ Hashim [Kuala Terengganu],"Tuan Yang di-Pertua, masalah besar dihadapi oleh penduduk di sekitar muara
Sungai Ibai adalah isu kecetekan muara sungai dan kuala tertutup. Masalah ini
telah melumpuhkan aktiviti ekonomi penduduk sekitar kawasan tersebut. la telah
dirasai sejak bertahun-tahun IaIu dan keadaan ini bertambah buruk dari tahun ke
tahun.
Muara Sungai Ibai ini juga merupakan satu-satunya laluan bot-bot nelayan
bagi Kampung Kuala Ibai, Kampung Chendering, Kampung Tok Adis, Kampung
Laut dan Kampung Pengkalan Setar. Hampir 100 orang nelayan kecil yang
terkesan daripada masalah kecetekan ini.
Sebagai langkah jangka pendek, kerajaan negeri telah meluluskan
permohonan sebuah syarikat swasta bagi menjalankan aktiviti mengorek,
mendalam dan mengeluarkan bahan pasir dari muara berkenaan secara
percuma. Selain itu, kerajaan negeri telah menjalankan kerja-kerja pengorekan
pasir bagi tujuan alur pelayaran bagi membolehkan nelayan keluar walaupun
ketika air surut.
Kedua, faktor kecetekan kuala sungai juga menjejaskan aktiviti sukan
riadah di kawasan tersebut terutama bagi acara sukan air seperti kenu dan
berkayak. Untuk makluman Yang Berhormat, antara kawasan rekreasi yang
menjadi tumpuan terutamanya pada hujung minggu adalah di kawasan Masjid
Terapung, Kuala Ibai. Satu kerugian apabila kecetekan yang berlaku ini telah
menjejaskan aktiviti sukan air.
Saya telah mendapat jawapan daripada pihak kementerian mengenai
status Projek Pemuliharaan Muara Sungai Ibai ini. Saya dimaklumkan projek ini
telah diluluskan semasa *Rolling Plan 1* (RP1) dalam Rancangan Malaysia Ke-12
(RMK-12). Projek ini dalam peringkat akhir prapembinaan iaitu untuk
memuktamadkan dokumen tender dan pelan tender bersama pihak perunding.
Projek ini dijangka diiklankan pada hujung bulan April 2023.
Walau bagaimanapun, sewaktu lawatan mantan Menteri Alam Sekitar dan
Air ke tapak Cadangan Projek Pemuliharaan Muara Sungai Ibai, Kuala
Terengganu pada 25 September 2022, beliau memaklumkan bahawa cadangan
projek ini telah berada pada peringkat akhir dalam penyediaan dokumen tender.
Jangkaan tender pada pertengahan November 2022.
Oleh itu, saya mohon penjelasan daripada pihak kementerian atas
kelewatan yang berlaku serta minta disegerakan projek ini kerana masalah ini
telah lama membelenggu rakyat di kawasan tersebut. Saya minta kementerian
memperincikan rancangan pemuliharaan muara Sungai Ibai ini. Sekian, terima
kasih."
UCAPAN DI BAWAH USUL BERKENAAN PERKARA TADBIR KERAJAAN (P.M. 17),"PEMULIHARAAN MUARA SUNGAI IBAI
BAGI MENGATASI KECETEKAN",,2.40 ptg.,1440,Tuan Khoo Poay Tiong [Kota Melaka],"Minta Yang Berhormat Menteri
untuk menjawab."
UCAPAN DI BAWAH USUL BERKENAAN PERKARA TADBIR KERAJAAN (P.M. 17),"PEMULIHARAAN MUARA SUNGAI IBAI
BAGI MENGATASI KECETEKAN",,2.43 ptg.,1443,"Timbalan Menteri Sumber Asli, Alam Sekitar dan Perubahan Iklim [Dato’ Sri Huang Tiong Sii]","Terima kasih Tuan Yang di-Pertua dan terima kasih
Yang Berhormat Kuala Terengganu. Pertamanya, terima kasih atas keprihatinan
Yang Berhormat Kuala Terengganu. Untuk makluman Ahli Yang Berhormat,
Projek Pemuliharaan Muara Sungai Ibai, Kuala Terengganu telah diiklankan pada
15 Mac 2023 dan taklimat tender telah diadakan pada 22 Mac 2023 dengan tarikh
tutup tender 18 April 2023.
Projek ini dijangka bermula pada Ogos 2023 dengan tempoh pelaksanaan
selama 28 bulan. Skop projek ini merangkumi kerja-kerja pengorekan sedimentasi
di muara sungai dan pembinaan dua struktur pemecah ombak (*training wall*).
Dengan pelaksanaan projek ini, ia dapat melancarkan laluan pelayaran
bagi nelayan ke laut serta dijangkakan dapat melindungi sekurang-kurangnya 100
buah bot nelayan daripada mengalami kerosakan akibat kecetekan muara.
Selain itu, pembinaan struktur *training wall* juga dapat menahan
sedimentasi yang terkumpul di muara sungai dan mengekalkan kedalaman muara
bagi tempoh yang panjang. Ia juga dapat mengurangkan kesan terhadap bot-bot
nelayan akibat pukulan ombak. Sekian, terima kasih."
UCAPAN DI BAWAH USUL BERKENAAN PERKARA TADBIR KERAJAAN (P.M. 17),NAIK TARAF PADANG AWAM,,2.45 ptg.,1445,Tuan Che Alias bin Hamid [Kemaman],"*Assalamualaikum
warahmatullaahi wabarakaatuh* dan salam sejahtera. Terima kasih Tuan Yang di-
Pertua dan terima kasih juga kepada Yang Berhormat Menteri. Saya mewakili
Parlimen Kemaman ingin membawa suara anak muda yang suka bersukan
terutama sukan bola sepak.
Sehubungan itu, saya memohon pihak Kementerian Belia dan Sukan
untuk membina dan menaik taraf padang awam Kemasik dengan dijadikan mini
stadium yang lebih selesa kepada anak-anak muda. Saya yakin dengan adanya
mini stadium ini yang dilengkapi fasiliti sudah tentu dapat menarik minat anak-
anak muda untuk bersukan selain mempertingkat program-program yang
melibatkan sukan bola sepak di semua peringkat.
Selain itu, saya juga memohon isu berkaitan penyelenggaraan padang
bola di Kemasik diserahkan kepada Majlis Pembandaran Kemaman (MPK) seperti
mana dibuat di Padang Bola Kerteh. Hal ini bagi memudahkan dan
menyelaraskan segala urusan kerja-kerja penyelenggaraan.
Untuk makluman Yang Berhormat Menteri, PDK telah menghantar surat
ke PTK pada Disember 2022 berserta pelan lokasi padang bola berkenaan. Oleh
itu, saya ingin bertanya status permohonan dan bilakah permohonan tersebut
akan disegerakan. Saya mohon respons yang positif daripada pihak Yang
Berhormat Menteri demi kesejahteraan rakyat terutama anak-anak muda. Sekian
terima kasih."
UCAPAN DI BAWAH USUL BERKENAAN PERKARA TADBIR KERAJAAN (P.M. 17),NAIK TARAF PADANG AWAM,,2.45 ptg.,1445,Tuan Khoo Poay Tiong [Kota Melaka],"Minta Yang Berhormat Menteri
untuk menjawab."
UCAPAN DI BAWAH USUL BERKENAAN PERKARA TADBIR KERAJAAN (P.M. 17),NAIK TARAF PADANG AWAM,,2.47 ptg.,1447,Menteri Belia dan Sukan [Puan Hannah Yeoh],"Tuan Yang di-Pertua,
saya mengucapkan terima kasih atas usul yang telah dibangkitkan oleh Yang
Berhormat Kemaman. Keprihatinan Yang Berhormat dalam soal membina dan
menaik taraf padang awam Kemasik dengan dijadikan mini stadium dan
penyelenggaraan bola sepak di Kemasik untuk diserahkan kepada Majlis
Perbandaran Kemaman adalah amat disanjungi.
Isu pertama membina dan menaik taraf padang awam Kemasik dengan
dijadikan mini stadium. Untuk makluman Yang Berhormat, KBS pada masa ini,
belum mempunyai perancangan untuk membina dan menaik taraf padang awam
Kemasik kepada sebuah mini stadium.
Untuk makluman Yang Berhormat, keutamaan KBS pada masa ini adalah
untuk membina dan menaik taraf fasiliti sukan premis di bawah kementerian
sendiri. Namun begitu, Yang Berhormat boleh mengemukakan permohonan
kepada KBS untuk dipertimbangkan.
Setiap permohonan harus menepati syarat yang ditetapkan oleh
Kementerian Ekonomi iaitu:
(i) memastikan tapak tanah perlu didaftarkan atas nama
Pesuruhjaya Tanah Persekutuan (PTP) dengan
memperoleh pengesahan pihak Jabatan Ketua Pengarah
Tanah dan Galian (JKPTG) bahawa tapak adalah bebas
bebanan dan sedia untuk dimasuki serta tiada isu tapak
ataupun tanah projek seperti setinggan, bantahan
penduduk dan lokasi tidak sesuai apabila membuat
permohonan projek fizikal binaan baharu; dan
(ii) KBS juga akan menilai kesesuaian menaik taraf sesebuah
fasiliti sukan dengan mengambil kira status tanah dan tahap
kepenggunaannya oleh penduduk setempat.
Pihak kementerian juga berpendapat bahawa tanggungjawab untuk
membina kemudahan sukan bukanlah terletak di bahu KBS semata-mata, bahkan
ia melibatkan usaha kolektif daripada pihak lain termasuklah kerajaan negeri dan
pihak berkuasa tempatan (PBT). KBS akan sentiasa memainkan peranan
signifikan dalam mewujudkan jaringan kerjasama bersama pihak-pihak
bertanggungjawab untuk merancang dan membina kemudahan sukan peringkat
negeri dan daerah.
Jadi, untuk pertimbangan kita, kita kena pastikan tanah itu milik Kerajaan
Persekutuan dahulu. Kedua, mengenai isu penyelenggaraan padang bola di
Kemasik diserahkan kepada Majlis Pembandaran Kemaman (MPK).
Untuk makluman Ahli Yang Berhormat, kami telah semak dan padang bola
sepak di Kemasik ini bukanlah di bawah pemilikan atau tanggungjawab KBS.
Sehubungan dengan itu, KBS tiada halangan sekiranya penyelenggaraan padang
bola berkenaan diserahkan kepada Majlis Perbandaran Kemaman. Sekian, terima
kasih.
Jadi, surat Yang Berhormat untuk Pejabat Tanah memang tepat. Akan
tetapi, sama ada boleh diserahkan kepada PBT, terletak di bawah bidang kuasa
kerajaan negeri. Terima kasih. Itu sahaja."
