level_1,level_2,level_3,raw_timestamp,timestamp,author,speech
,,,12.00 tengah hari,1200,ANNOTATION,"[Timbalan Yang di-Pertua (Dato’ Sri Azalina Othman Said)
mempengerusikan Mesyuarat]"
UCAPAN DI BAWAH USUL BERKENAAN PERKARA TADBIR KERAJAAN (P.M. 17),"Status Liputan Internet di Negara Ini Khususnya Di Sabah dan Sarawak
Serta Kawasan Pedalaman Di Semenanjung Malaysia",,12.04 tgh.,1204,Dato’ Seri Dr. Shahidan bin Kassim [Arau],"Tuan Yang di-Pertua, Yang
Berhormat Arau akan mencadangkan bahawa Dewan Rakyat menggesa kerajaan
supaya menjelaskan mengenai status liputan internet di negara ini khususnya di Sabah
dan Sarawak serta kawasan pendalaman di Semenanjung Malaysia.
Status liputan internet di Malaysia memperlihatkan jurang liputan internet di
bandar dan juga luar bandar sangat ketara. Liputan internet di luar bandar adalah paling
membimbangkan terutamanya di kawasan pedalaman Sabah dan Sarawak kerana
capaian liputan internet sangat tidak memuaskan.
Pelaksanaan pengajian atas talian secara penuh oleh Kementerian Pengajian
Tinggi (KPT) memberi cabaran kepada pelajar khususnya di kawasan yang mempunyai
capaian liputan internet yang sederhana dan ke bawahnya. Oleh hal yang demikian,
kerajaan diharap dapat memandang berat kepada langkah penyelesaian masalah ini
bagi memastikan pelajar-pelajar dapat menyesuaikan diri dengan keadaan norma
kehidupan baru. Juga kalau boleh bagi penjelasan juga tentang peruntukan sebanyak
RM85 juta kepada JASA. Terima kasih."
UCAPAN DI BAWAH USUL BERKENAAN PERKARA TADBIR KERAJAAN (P.M. 17),"Status Liputan Internet di Negara Ini Khususnya Di Sabah dan Sarawak
Serta Kawasan Pedalaman Di Semenanjung Malaysia",,12.04 tgh.,1204,Timbalan Yang di-Pertua [Dato’ Sri Azalina Othman Said],"Silakan, Yang
Berhormat Timbalan Menteri."
UCAPAN DI BAWAH USUL BERKENAAN PERKARA TADBIR KERAJAAN (P.M. 17),"Status Liputan Internet di Negara Ini Khususnya Di Sabah dan Sarawak
Serta Kawasan Pedalaman Di Semenanjung Malaysia",,12.06 tgh.,1206,Timbalan Menteri Komunikasi dan Multimedia [Datuk Zahidi bin Zainul Abidin],"Terima kasih, Tuan Yang di-Pertua. Untuk makluman Ahli Yang Berhormat,
sehingga suku kedua 2020, kadar liputan jalur lebar mudah alih 4G di kawasan
berpenduduk nasional berada pada tahap 92.03 peratus, manakala Sabah berada pada
tahap 73.41 peratus dan di Sarawak berada pada tahap 73.67 peratus. Sementara itu
bagi kadar liputan jalur lebar mudah alih 3G di kawasan berpenduduk nasional adalah
pada tahap 95.32 peratus, di Sabah berada pada tahap 84.07 peratus dan Sarawak
berada pada tahap 84.62 peratus.
Menyedari jurang yang wujud antara peringkat nasional dengan Sabah dan
Sarawak, kementerian melalui Suruhanjaya Komunikasi dan Multimedia Malaysia
(SKMM) sentiasa memberi tumpuan kepada penambahbaikan infrastruktur komunikasi
melalui penyediaan liputan jalur lebar berkelajuan tinggi dengan menggunakan pelbagai
teknologi. Ini adalah cara membolehkan rakyat terutamanya di negeri Sabah dan
Sarawak dapat menikmati akses-akses kepada perkhidmatan jalur lebar.."
UCAPAN DI BAWAH USUL BERKENAAN PERKARA TADBIR KERAJAAN (P.M. 17),"Status Liputan Internet di Negara Ini Khususnya Di Sabah dan Sarawak
Serta Kawasan Pedalaman Di Semenanjung Malaysia",,12.06 tgh.,1206,Dato’ Seri Dr. Shahidan bin Kassim [Arau],"Penjelasan, penjelasan. Apa
maksud pelbagai teknologi sebab yang kita tahu untuk kerajaan memberi liputan kepada
internet dia kena belanja duit. Jadi pelbagai teknologi ini adakah tidak memerlukan
perbelanjaan ataupun akan dibelanjakan daripada peruntukan kerajaan ataupun
daripada syarikat yang berkenaan."
UCAPAN DI BAWAH USUL BERKENAAN PERKARA TADBIR KERAJAAN (P.M. 17),"Status Liputan Internet di Negara Ini Khususnya Di Sabah dan Sarawak
Serta Kawasan Pedalaman Di Semenanjung Malaysia",,12.06 tgh.,1206,Datuk Zahidi bin Zainul Abidin,"Okey, untuk pengetahuan Yang Berhormat,
pelbagai teknologi ini dia ada dua cara. Pertama sekali, kita tambah menara dan
keduanya kadang-kadang menara itu ada menara tetapi pemancarnya kurang baik.
Jadi pemancar ini ada pelbagai teknologi pemancar di mana sambungan kekuatan
pemancar dan ini juga melibatkan peruntukan tetapi peruntukan ini tidak besar seperti
peruntukan membuat pemancar.
Ketiganya, ada pelbagai teknologi di antaranya Telco contohnya Digi dengan
juga Celcom. Digi lemah, Celcom lemah dikombinasikan, maknanya untuk bagi
kekuatan. Di antara yang lain adalah teknologi satelit di mana teknologinya
menggunakan satelit di sesetengah kawasan yang tidak ada *line* digunakan satelit atau
kawasan berbukit-bukau atau sebagai. Akan tetapi ini seperti mana kita katakan tadi
ada hujan dan sebagainya..."
UCAPAN DI BAWAH USUL BERKENAAN PERKARA TADBIR KERAJAAN (P.M. 17),"Status Liputan Internet di Negara Ini Khususnya Di Sabah dan Sarawak
Serta Kawasan Pedalaman Di Semenanjung Malaysia",,12.06 tgh.,1206,Dato’ Seri Dr. Shahidan bin Kassim [Arau],"Tuan Yang di-Pertua, boleh minta
penjelasan lagi tidak?"
UCAPAN DI BAWAH USUL BERKENAAN PERKARA TADBIR KERAJAAN (P.M. 17),"Status Liputan Internet di Negara Ini Khususnya Di Sabah dan Sarawak
Serta Kawasan Pedalaman Di Semenanjung Malaysia",,12.06 tgh.,1206,Timbalan Yang di-Pertua [Dato’ Sri Azalina Othman Said],"Tidak bolehlah,
Yang Berhormat."
UCAPAN DI BAWAH USUL BERKENAAN PERKARA TADBIR KERAJAAN (P.M. 17),"Status Liputan Internet di Negara Ini Khususnya Di Sabah dan Sarawak
Serta Kawasan Pedalaman Di Semenanjung Malaysia",,12.06 tgh.,1206,Dato’ Seri Dr. Shahidan bin Kassim [Arau],Tidak bolehkah?
UCAPAN DI BAWAH USUL BERKENAAN PERKARA TADBIR KERAJAAN (P.M. 17),"Status Liputan Internet di Negara Ini Khususnya Di Sabah dan Sarawak
Serta Kawasan Pedalaman Di Semenanjung Malaysia",,12.06 tgh.,1206,Timbalan Yang di-Pertua [Dato’ Sri Azalina Othman Said],"Tidak tahu
*standing order* mana."
