10042019,USUL MENTERI HAL EHWAL EKONOMI DI BAWAH P.M. 27(3),1
12032019,TITAH SERI PADUKA BAGINDAYANG DI-PERTUAN AGONG,0.99
18032019,MENJUNJUNG KASIH TITAH SERI PADUKA BAGINDA YANG DI-PERTUAN AGONG,0.95
21102019,DAN USUL,0.95
10072019,USUL MENARIK BALIK RANG UNDANG-UNDANG DI BAWAH P.M. 62,0.99
18072019,PENERANGAN DARIPADA MENTERI LUAR NEGERI DI BAWAH P.M. 14(1)(i),1
28032019,PEMASYURAN TUAN YANG DI-PERTUA,0.98
23102019,DAN USUL,0.95
05122019,USUL MENTERI SUMBER MANUSIA DI BAWAH P.M. 27(3),0.99
01042019,JAWAPAN-JAWAPAN LISAN PERTANYAAN-PERTANYAAN,0.95
11032019,ISTIADAT PEMBUKAAN PENGGAL KEDUA MAJLIS PARLIMEN YANG KEEMPAT BELAS,1
13112018,DAN USUL,0.95
17072018,ISTIADAT PEMBUKAAN PENGGAL PERTAMA MAJLIS PARLIMEN YANG KEEMPAT BELAS,0.95
06032018,UCAPAN TAKZIAH KEPADA KELUARGA,0.95
06032018,SERI PADUKA BAGINDA YANG DI-PERTUAN AGONG XV,0.91
15112018,DAN USUL,0.95
24072018,SERI PADUKA BAGINDA YANG DIPERTUAN AGONG,0.92
19112018,DAN USUL,0.95
14112018,DAN USUL,0.95
31072018,PENERANGAN DARIPADA YB MENTERI PENGANGKUTAN DI BAWAH P.M. 14(1)(i),0.98
18072018,SERI PADUKA BAGINDA YANG DI-PERTUAN AGONG XV,0.91
05032018,ISTIADAT PEMBUKAAN PENGGAL KEENAM MAJLIS PARLIMEN YANG KETIGA BELAS,0.99
14022023,PENGESAHAN SETIAUSAHA KEPADA MAJLIS DI BAWAH P.M. 4(7),1
23052023,UCAPAN TAKZIAH KEPADA KELUARGA ALLAHYARHAM DATO’ ISMAIL BIN KASSIM,1
27022023,DAN USUL,0.95
07032023,USUL PERKARA TERTENTU BERKENAAN KEPENTINGAN ORANG RAMAI YANG BERKEHENDAK DISEGERAKAN DI BAWAH P.M. 18(1),1
07032023,DAN USUL,0.95
07032023,USUL PERKARA TERTENTU BERKENAAN KEPENTINGAN ORANG RAMAI YANG BERKEHENDAK DISEGERAKAN DI BAWAH P.M. 18(1),1
13022023,ISTIADAT PEMBUKAAN PENGGAL KEDUA MAJLIS PARLIMEN YANG KELIMA BELAS,1
13022023,TITAH SERI PADUKA BAGINDAYANG DI-PERTUAN AGONG XVI,0.95
15062023,USUL PERKARA TERTENTU BERKENAAN KEPENTINGAN ORANG RAMAI YANG BERKEHENDAK DISEGERAKAN DI BAWAH P.M. 18(1),1
