name,honour_title,seat_name,role,attendance,membership
Henry Sum Agong,Dato’ Henry Sum Agong,Lawas,,1,mp
Anyi Ngau,Dato Anyi Ngau,Baram,,1,mp
Prabakaran A/L M Parameswaran,Tuan Prabakaran A/L M. Parameswaran,Batu,,1,mp
Khoo Poay Tiong,Tuan Khoo Poay Tiong,Kota Melaka,,1,mp
Pang Hok Liong,Tuan Pang Hok Liong,Labis,,1,mp
Cha Kee Chin,Tuan Cha Kee Chin,Rasah,,1,mp
Wetrom Bin Bahanda,Datuk Wetrom Bin Bahanda,Kota Marudu,,1,mp
Ahmad Fadhli Bin Shaari,Tuan Ahmad Fadhli Bin Shaari,Pasir Mas,,1,mp
Wan Ahmad Fayhsal Bin Wan Ahmad Kamal,Tuan Wan Ahmad Fayhsal Bin Wan Ahmad Kamal,Machang,,1,mp
Abdul Latiff Bin Abdul Rahman,Tuan Haji Abdul Latiff Bin Abdul Rahman,Kuala Krai,,1,mp
Ismail Bin Haji Abd Muttalib,Dato’ Sri Haji Ismail Bin Haji Abd. Muttalib,Maran,,1,mp
Wan Hassan Bin Mohd Ramli,Tuan Haji Wan Hassan Bin Mohd Ramli,Dungun,,1,mp
Mohd Suhaimi Bin Abdullah,Dato’ Mohd Suhaimi Bin Abdullah,Langkawi,,1,mp
Sabri Bin Azit,Tuan Sabri Bin Azit,Jerai,,1,mp
Halimah Ali,Dr. Hajah Halimah Ali,Kapar,,1,mp
Kamal Bin Ashaari,Tuan Haji Kamal Bin Ashaari,Kuala Krau,,1,mp
Iskandar Dzulkarnain Bin Abdul Khalid,Datuk Iskandar Dzulkarnain Bin Abdul Khalid,Kuala Kangsar,,1,mp
Bakri Bin Jamaluddin,Tuan Haji Bakri Bin Jamaluddin,Tangga Batu,,1,mp
Muhammad Fawwaz Bin Mohamad Jan,Tuan Muhammad Fawwaz Bin Mohamad Jan,Permatang Pauh,,1,mp
Siti Mastura Binti Muhammad,Dr. Siti Mastura Binti Muhammad,Kepala Batas,,1,mp
Kapten Azahari Bin Hasan,Kapten Azahari Bin Hasan,Padang Rengas,,1,mp
Abd Ghani Bin Haji Ahmad,Dr. Haji Abd Ghani Bin Haji Ahmad,Jerlun,,1,mp
Abdul Khalib Bin Abdullah,Dato' Haji Abdul Khalib Bin Abdullah,Rompin,,1,mp
Zakri Bin Hassan,Tuan Zakri Bin Hassan,Kangar,,1,mp
Rushdan Bin Rusmi,Tuan Rushdan Bin Rusmi,Padang Besar,,1,mp
Salamiah Binti Mohd Nor,Puan Hajah Salamiah Binti Mohd Nor,Temerloh,,1,mp
Komander Nordin Bin Ahmad Ismail TLDM (B),Komander Nordin Bin Ahmad Ismail TLDM (B),Lumut,,1,mp
Muhammad Ismi Bin Mat Taib,Tuan Muhammad Ismi Bin Mat Taib,Parit,,1,mp
Kalam Bin Salan,Tuan Kalam Bin Salan,Sabak Bernam,,1,mp
Wan Razali Bin Wan Nor,Tuan Wan Razali Bin Wan Nor,Kuantan,,1,mp
Jamaludin Bin Yahya,Tuan Jamaludin Bin Yahya,Pasir Salak,,1,mp
Fathul Huzir Bin Ayob,Tuan Fathul Huzir Bin Ayob,Gerik,,1,mp
Idris Bin Haji Ahmad,Datuk Haji Idris Bin Haji Ahmad,Bagan Serai,,1,mp
