level_1,level_2,level_3,raw_timestamp,timestamp,author,speech
,,,2.30 petang,1430,ANNOTATION,"[Dato’ Ramli bin Dato’ Mohd Nor (Cameron Highlands)
mempengerusikan Mesyuarat]"
UCAPAN DI BAWAH USUL BERKENAAN PERKARA TADBIR KERAJAAN (P.M. 17),"Cadangan Membina Sekolah Berasrama Penuh (SBP)
di Gemas, Negeri Sembilan",,2.34 ptg.,1434,Datuk Dr. Hasan bin Bahrom [Tampin],"*Bismillahi Rahmani Rahim*.
*Assalamualaikum warahmatullahi wabarakatuh*. Terima kasih Tuan Yang di-
Pertua. Parlimen Tampin telah dimaklumkan oleh pihak Pejabat Pendidikan
Daerah Tampin bahawa terdapat perbincangan tentang pemindahan Sekolah
Menengah Sains Seri Putera, Kuala Lumpur ke lokasi yang masih belum
diputuskan. Sementara itu, Parlimen Tampin juga difahamkan dalam
perbincangan tersebut bahawa Kerajaan Negeri Sembilan telah menawarkan satu
lokasi untuk menempatkan pemindahan sekolah tersebut di kawasan yang telah
diwartakan untuk pembangunan sekolah berasrama penuh dengan keluasan
16.36 hektar yang telah diwartakan pada 29 Mac 2018 bernombor PW 5474.
Tuan Yang di-Pertua, Parlimen Tampin menyokong penuh pemindahan
sekolah tersebut ke Gemas kerana ia merupakan lokasi strategik dengan
kemudahan pengangkutan dan perhubungan awam yang tersedia seperti stesen
kereta api yang menjadi penghubung timur, barat dan selatan Semenanjung
Malaysia. Kewujudan kemudahan pengangkutan awam ini telah dapat dan
mungkin dapat memudahkan perjalanan ibu bapa dan pelajar untuk ke sekolah
yang dicadangkan.
Di samping itu, Kerajaan Negeri Sembilan juga menyokong hasrat ini
dengan memberikan peruntukan rizab tanah bagi pembangunan sekolah tersebut.
Seterusnya, Parlimen Tampin yakin dengan kewujudan Sekolah Berasrama
Penuh di kawasan tersebut boleh memberi impak kepada pembangunan
pendidikan kerana ia terletak berhampiran Pusat Agrosains Pintar Universiti
Malaya, Gemas. Selain itu, tapak lokasi ini yang bersebelahan dengan Gemas
Golf Resort, Kem Tentera Syed Sirajuddin Gemas dan kawasan penempatan
awam mampu merancakkan perkembangan ekonomi masyarakat Parlimen
Tampin. Justeru itu, saya berharap agar kementerian dapat mempertimbangkan
cadangan membina sekolah berasrama penuh (SBP) di Gemas, Negeri Sembilan.
Sekian, terima kasih Tuan Yang di-Pertua."
UCAPAN DI BAWAH USUL BERKENAAN PERKARA TADBIR KERAJAAN (P.M. 17),"Cadangan Membina Sekolah Berasrama Penuh (SBP)
di Gemas, Negeri Sembilan",,2.37 ptg.,1437,Timbalan Menteri Pendidikan Ini [Dato’ Dr. Mah Hang Soon],"Terima
kasih kepada Tampin. Tuan Yang di-Pertua, untuk makluman ahli Yang
Berhormat, dalam konteks pembinaan sekolah baharu di atas tanah yang telah
dirizabkan untuk tujuan pendidikan, Kementerian Pendidikan Malaysia (KPM)
akan melaksanakan analisis keperluan secara terperinci. Selain daripada
kesediaan tapak atau tanah, antara perkara lain yang diambil kira adalah bilangan
dan kapasiti sekolah sedia ada yang berhampiran, kepadatan penduduk di
kawasan sekitar, liputan kawasan tadahan penduduk (*catchment area*) serta
perancangan pembangunan kawasan tersebut berdasarkan perbincangan
bersama-sama pihak berkuasa tempatan (PBT).
KPM menyambut baik tawaran Kerajaan Negeri Sembilan untuk
menempatkan pemindahan Sekolah Menengah Sains Seri Puteri (SESERI) Kuala
Lumpur ke kawasan yang telah diwartakan untuk pembangunan sekolah
berasrama penuh (SBP) di Gemas dengan keluasan 16.36 hektar yang tekah
diwartakan pada 29 Mac 2018 bernombor PW 5474. Namun begitu, KPM juga
sedang meneliti dan mempertimbangkan cadangan pembinaan SBP di kawasan
yang mempunyai permohonan kemasukan SBP yang tinggi di sekitar Lembah
Klang. Sekian, terima kasih."
UCAPAN DI BAWAH USUL BERKENAAN PERKARA TADBIR KERAJAAN (P.M. 17),"Isu Keciciran dan Kegagalan Menguasai Pembelajaran Murid Orang Asli Pulau Indah, Klang",,2.38 ptg.,1438,Tuan Charles Anthony Santiago [Klang],"Tuan Yang di-Pertua,
Perkampungan Orang Asli, Pulau Indah, Klang adalah sebuah perkampungan
Orang Asal di Parlimen Klang dengan populasi 90 keluarga Mah Meri. Semakan
dalam data Semak Slip Peperiksaan Pelajar (SAPS) mendapati potensi kadar
keciciran dalam kalangan kanak-kanak Orang Asal di Pulau Indah di sekolah
rendah adalah pada 30.2 peratus dan 69.8 peratus bagi pelajar sekolah
menengah. Ini jauh lebih tinggi daripada keciciran negara bagi Orang Asli iaitu 17
peratus pada 2017 yang dinyatakan oleh JAKOA.
Semakan dalam data SAPS juga mendapati murid Orang Asli
menunjukkan prestasi yang sangat teruk dalam akademik mereka. Satu daripada
89 kanak-kanak yang bersekolah hanya berjaya melepasi kesemua tiga mata
pelajaran teras manakala yang lain masih gagal dalam mata pelajaran tersebut."
UCAPAN DI BAWAH USUL BERKENAAN PERKARA TADBIR KERAJAAN (P.M. 17),"Isu Keciciran dan Kegagalan Menguasai Pembelajaran Murid Orang Asli Pulau Indah, Klang",,■1440,1440,Tuan Charles Anthony Santiago [Klang],"Ini adalah isu yang membimbangkan iaitu 98 peratus daripada kanak-
kanak akan berakhir di sektor tidak formal peringkat rendah atau berisiko tinggi
untuk tercicir kerana keputusan akademik yang lemah. Ini disebabkan oleh
kemiskinan dan kurangnya kesedaran dalam kalangan ibu bapa anak Orang Asli
serta faktor lain seperti kekurangan kemudahan dan sistem pendidikan yang tidak
sesuai dengan mereka.
Sementara itu, kebimbangan terbesar yang dibangkitkan oleh pelajar dan
juga ibu bapa perkampungan Orang Asli di Pulau Indah ialah kesukaran untuk
memiliki komputer riba atau telefon bimbit untuk meneruskan pembelajaran di
rumah. Kos memiliki komputer riba yang berharga RM1,000 dan ke atas pastinya
tidak mungkin untuk keluarga ini. Kebanyakan keluarga hanya mempunyai satu
telefon pintar dengan ciri yang sangat lama yang perlu dikongsi dengan adik-
beradik untuk kelas. Kelajuan internet yang perlahan dan ciri atau ruang yang
terhad dalam telefon memberi lebih tekanan kepada anak-anak Orang Asli di sini
untuk meneruskan pendidikan dalam talian.
Menteri Kewangan dalam Belanjawan 2021 telah mengumumkan 150,000
komputer riba akan diedarkan kepada pelajar kumpulan B40. Tiada seorangpun
daripada kanak-kanak bersekolah di perkampungan Orang Asli Pulau Indah
mendapat manfaat daripada skim tersebut. Tanpa komputer riba dan sambungan
internet yang lemah, kanak-kanak ini mengharungi COVID-19 dengan kesukaran
untuk mendapatkan pendidikan melalui e-pembelajaran. Saya memohon
Kementerian Pendidikan Malaysia menyatakan:-
(i) adakah Kementerian Pendidikan akan menyalurkan
komputer riba dengan internet percuma untuk semua murid
Orang Asal;
(ii) apakah pelan kementerian untuk mengurangkan kadar
keciciran daripada sekolah dalam kalangan murid Orang
Asal;
(iii) adakah Kementerian Pendidikan Malaysia akan membuka
balik Sekolah Model Khas Orang Asli di Pulau Indah untuk
memberi pendidikan awal dan sekolah rendah untuk
pelajar-pelajar yang ketinggalan; dan
(iv) apakah pelan kementerian untuk membantu pelajar Orang
Asal menguasai pembelajaran menerusi talian?
Sekian, terima kasih."
UCAPAN DI BAWAH USUL BERKENAAN PERKARA TADBIR KERAJAAN (P.M. 17),"Isu Keciciran dan Kegagalan Menguasai Pembelajaran Murid Orang Asli Pulau Indah, Klang",,2.42 ptg.,1442,Timbalan Menteri Pendidikan Ini [Dato’ Dr. Mah Hang Soon],"Terima
kasih Yang Berhormat Klang. Tuan Yang di-Pertua, Kementerian Pendidikan
Malaysia (KPM) sentiasa mengambil perhatian terhadap pendidikan Orang Asli.
KPM telah memperkenalkan Inisiatif Transformasi Pendidikan Orang Asli dan
Peribumi di bawah Pelan Pembangunan Pendidikan Malaysia (PPPM) 2013-2025
untuk memastikan murid Orang Asli dan Peribumi mendapat pendidikan yang
terbaik. Inisiatif ini antaranya adakah untuk meningkatkan enrolmen dan
kehadiran murid Orang Asli ke sekolah, memastikan mereka mendapat
pendidikan yang berkualiti serta relevan dengan keperluan mereka.
Untuk makluman ahli Yang Berhormat, pelbagai program telah
dilaksanakan bawah Inisiatif Transformasi Pendidikan Orang Asli dan Peribumi
antaranya, Program Intervensi Murid Orang Asli dan Peribumi (PIKAP). PIKAP
melibatkan tiga mata pelajaran utama di Tahap 1, iaitu Bahasa Melayu, Bahasa
Inggeris dan Matematik yang mengandungi modul pembelajaran disesuaikan
dengan kontes persekitaran untuk meningkatkan minat murid Orang Asli dan
Peribumi kepada pembelajaran dan hadir ke sekolah.
KPM turut melaksanakan Program Literasi dan Numerasi Sekolah Rendah
(PLaN) di 117 buah sekolah Orang Asli seluruh Malaysia. Program ini adalah bagi
menyokong murid Orang Asli yang masih belum mencapai tahap penguasaan
minimum bagi mata pelajaran Bahasa Melayu, Bahasa Inggeris dan Matematik.
Selain itu, KPM telah memperkenalkan Program Jom Belajar yang merangkumi
Program Khas Murid Orang Asli (Prokhas) dan Chup Badui Sikulah (CBS).
Program ini bertujuan untuk menyediakan pendidikan asas serta memantapkan
penguasaan kemahiran asas membaca, menulis dan mengira (3M) kepada murid
Orang Asli yang tidak pernah bersekolah.
Menyedari penempatan yang jauh menjadi satu faktor yang menyebabkan
murid Orang Asli tercicir dalam pendidikan, KPM telah menyediakan asrama di 45
buah sekolah rendah dan sebuah sekolah menengah yang mempunyai enrolmen
100 peratus murid Orang Asli. Selain itu, terdapat juga murid Orang Asli yang
tinggal di asrama sekolah harian. Penyediaan asrama ini adalah untuk
memudahkan murid Orang Asli hadir ke sekolah.
Bagi makluman Ahli Yang Berhormat, pihak kerajaan telah
memperuntukkan sebanyak RM274 juta kepada komuniti Orang Asli dalam Bajet
2022. Peruntukan ini adalah bagi melaksanakan Program Peningkatan Taraf
Hidup Orang Asli seperti pemberian subsidi dan bantuan persekolahan serta
bantuan kebajikan untuk manfaat hampir 200,000 Orang Asli. Salah satu inisiatif
tersebut adalah kerajaan telah menaikkan kadar wang saku murid Orang Asli
sekolah menengah kepada RM4.00 sehari yang sebelum ini RM2.00 sehari
melalui agensi Jabatan Kemajuan Orang Asli (JAKOA). Pemberian wang saku ini
adalah untuk memastikan murid Orang Asli dapat hadir ke sekolah menengah dan
membelanjakan wang tersebut untuk makanan serta pembelian alat tulis.
KPM juga telah melaksanakan Kelas Dewasa Murid Orang Asli dan
Peribumi (KEDAP) untuk meningkatkan tahap penguasaan kemahiran asas
membaca, menulis dan mengira kepada masyarakat Orang Asli. Program ini juga
dapat meningkatkan kesedaran tentang kepentingan pendidikan dalam kalangan
ibu bapa Orang Asli seterusnya mengambil berat terhadap perkembangan
pendidikan anak mereka. KPM turut mengambil pelbagai pendekatan melalui sesi
libat urus dengan kerjasama pelbagai agensi kerajaan seperti Jabatan Kemajuan
Orang Asli (JAKOA), Jabatan Kesihatan Negeri (JKN), penglibatan ibu bapa,
ketua komuniti dan pertubuhan bukan kerajaan (NGO) serta Tok Batin bagi
memberikan kesedaran akan kepentingan pendidikan kepada masyarakat Orang
Asli.
Bagi menangani isu keciciran dalam kalangan murid Orang Asli, KPM
telah menyediakan Sekolah Model Khas Komprehensif 9 Tahun (K9) melibatkan
murid tahun satu sehingga ke tingkatan tiga di sekolah yang sama. Pelaksanaan
Sekolah K9 di SK Bandar 2, Pekan, Pahang pada tahun 2008 adalah untuk
menangani isu keciciran murid sewaktu transisi dari Tahun 6 ke Tingkatan 1 ketika
itu. Sehingga kini, sejumlah sembilan Sekolah Model Khas K9 yang sedang
beroperasi di seluruh negara, termasuk di Sabah dan Sarawak.
Manakala di negeri Selangor pula, terdapat dua Sekolah Model Khas K9
iaitu di SK Bukit Kemandol dan SK Binjai Jaya. Permohonan baharu
pengoperasian Sekolah Model Khas K9 dikemukakan oleh Pejabat Pendidikan
Daerah melalui Jabatan Pendidikan Negeri sekiranya terdapat keperluan kritikal
bagi membendung keciciran dalam kalangan murid Orang Asli di peringkat
menengah rendah. Pihak KPM akan menilai kebolehlaksanaannya daripada
aspek keselamatan murid dan kesediaan sekolah yang dicadangkan dari segi
aspek kemudahan fizikal seperti kecukupan bilik darjah dan kemudahan-
kemudahan lain.
Bagi makluman Ahli yang Berhormat, SK Pulau Indah merupakan sekolah
aliran perdana di mana murid Orang Asli turut belajar di sekolah tersebut.
Berdasarkan data KPM yang diperolehi daripada pihak JAKOA dari tahun 2015
hingga 2022, tiada murid Orang Asli di SK Pulau Indah yang tercicir daripada
sistem persekolahan. KPM telah memberikan bantuan peranti digital lengkap
sebanyak 150,000 unit dengan pelan data selama tempoh setahun di bawah
Inisiatif Tabung CERDIK kepada murid B40, yang dikendalikan oleh Yayasan
Hasanah. Berdasarkan data agihan, seramai 1,022 murid Orang Asli dari 13 buah
sekolah di seluruh negara termasuk di SK Pulau Indah telah menerima peranti
digital ini. Bantuan peranti digital serta pelan data yang diberikan ini dapat
meningkatkan kebolehlaksanaan proses pembelajaran murid Orang Asli secara
dalam talian.
KPM telah memperkasakan siaran pendidikan di DidikTV KPM selain
siaran TV Pendidikan di TV Okey RTM dan Tutor TV Astro bagi membantu murid
yang tidak mempunyai akses kepada talian internet dan alat peranti digital yang
sesuai untuk pembelajaran. Selain itu, pelbagai pendekatan telah diambil oleh
guru bagi memastikan murid Orang Asli tidak tercicir daripada segi pembelajaran
semasa tempoh PdPR iaitu melaksana kaedah PdPR secara *off-site* iaitu
penyerahan modul pada setiap murid, menyediakan buku kerja yg disediakan
khas buat murid Orang Asli serta bimbingan bersemuka di perkampungan murid
Orang Asli .
Bagi makluman Ahli Yang Berhormat, KPM sedang di peringkat akhir
penggubalan Dasar Pendidikan Digital (DPD) yang bermatlamat melahirkan
generasi fasih digital dan berdaya saing termasuk dalam kalangan murid Orang
Asli. DPD dirangka bagi memupuk bakat digital yang berpengetahuan,
berkemahiran dan beretika dalam penggunaan teknologi digital. Di bawah
kerangka DPD, tumpuan akan diberikan untuk:
(i) meningkatkan penguasaan murid dalam teknologi digital;
(ii) memperkayakan kandungan digital yang berkualiti;
(iii) memperkasakan kompetensi guru;
(iv) membudayakan penggunaan teknologi digital dalam
kalangan pemimpin pendidikan;
(v) mengupayakan infrastruktur dan infrastruktur digital institusi
di bawah KPM; dan
(vi) memperkukuhkan jalinan strategik.
Pelaksanaan DPD dapat dimanfaatkan secara optimum oleh semua murid
termasuk murid Orang Asli, pendidik, pemimpin pendidikan dan semua pihak
berkepentingan bagi merapatkan jurang digital seterusnya membolehkan
pendidikan digital dilaksanakan dengan jayanya. KPM sentiasa komited untuk
menyediakan akses pendidikan berkualiti kepada murid Orang Asli. Sekian,
terima kasih."
UCAPAN DI BAWAH USUL BERKENAAN PERKARA TADBIR KERAJAAN (P.M. 17),"Isu Keciciran dan Kegagalan Menguasai Pembelajaran Murid Orang Asli Pulau Indah, Klang",,2.42 ptg.,1442,Dato’ Ramli bin Dato’ Mohd Nor [Cameron Highlands],"Ahli-ahli Yang
Berhormat, Mesyuarat Kamar Khas hari ini ditangguhkan sehingga 2.30 petang
hari Rabu, 16 Mac 2022."
UCAPAN DI BAWAH USUL BERKENAAN PERKARA TADBIR KERAJAAN (P.M. 17),"Isu Keciciran dan Kegagalan Menguasai Pembelajaran Murid Orang Asli Pulau Indah, Klang",,2.53 petang,1453,ANNOTATION,[Kamar Khas ditangguhkan pada pukul 2.53 petang]
